f;t;count;st_astext
16039;15702;1;LINESTRING(672313.442999857 6577296.58199435,677748.432999754 6578030.28099271)
11462;13353;1;LINESTRING(673345.776999832 6582218.22499401,678293.091999728 6584954.28399242)
15141;11641;1;LINESTRING(675395.361999802 6577688.53099347,672533.849999847 6581605.04299424)
11578;15489;1;LINESTRING(674243.231999818 6581416.28199376,675650.075999799 6576941.5439934)
12161;11581;1;LINESTRING(670461.736999875 6584644.93399475,673609.811999832 6579374.93999397)
15843;13354;1;LINESTRING(671746.115999873 6572189.55499456,677953.429999736 6584878.13699254)
15086;12229;1;LINESTRING(674847.950999806 6581761.55099358,670978.396999865 6586305.9189946)
12378;15405;1;LINESTRING(670707.287999877 6580551.59099473,676622.225999781 6576265.9229931)
15160;15838;1;LINESTRING(675395.272999803 6577434.49099347,670310.870999888 6576132.52599488)
11217;16748;1;LINESTRING(669195.143999888 6588095.99299503,665493.284999918 6601357.34499574)
16024;15324;1;LINESTRING(672372.658999856 6577381.28499434,677255.774999764 6577967.81299288)
10947;16295;1;LINESTRING(668456.729999906 6581722.63199527,666321.872999926 6585705.05899571)
11469;16034;1;LINESTRING(673734.362999828 6580741.28599392,672257.757999857 6577446.88399437)
13467;11451;1;LINESTRING(683250.7009996 6583324.10899056,672262.670999853 6580603.48399433)
16039;9790;1;LINESTRING(672313.442999857 6577296.58199435,678791.529999752 6566865.66599253)
17298;7440;1;LINESTRING(664868.940999912 6613798.60899577,663769.138999932 6606799.96999606)
11711;12595;1;LINESTRING(673946.173999805 6592480.88099371,674092.370999785 6602872.47199353)
14943;11455;1;LINESTRING(676123.777999781 6581923.98099318,674425.768999819 6578417.97899375)
12057;14969;1;LINESTRING(669550.046999886 6585773.40599497,674962.170999805 6581164.03199355)
15191;14798;1;LINESTRING(669196.453999904 6575315.16999516,674871.595999811 6578715.32999361)
11217;11928;1;LINESTRING(669195.143999888 6588095.99299503,672960.57599983 6587697.71399405)
10968;10266;1;LINESTRING(667211.474999921 6581607.95199555,681841.974999667 6571832.62699134)
15160;9357;1;LINESTRING(675395.272999803 6577434.49099347,671077.247999884 6571237.61699474)
14433;11553;1;LINESTRING(676859.676999771 6578847.38799299,673604.886999827 6582588.35699393)
16342;11115;1;LINESTRING(665648.444999928 6590645.57499581,673982.42699982 6582806.89599382)
15465;138;1;LINESTRING(675772.375999804 6572878.17599342,665137.364999951 6574099.23599605)
15338;15702;1;LINESTRING(672599.213999852 6577084.57699428,677748.432999754 6578030.28099271)
16729;12364;1;LINESTRING(665015.04599993 6595954.47699589,669752.50799988 6587767.8169949)
14765;15588;1;LINESTRING(675483.848999799 6578541.77299343,676821.887999783 6573069.84999309)
15918;15221;1;LINESTRING(667572.140999923 6575611.45399552,672279.996999857 6577499.14399436)
13689;11442;1;LINESTRING(682437.446999622 6584263.11099088,673907.934999821 6582765.99999384)
2066;15191;1;LINESTRING(672680.937999847 6579573.15799423,669196.453999904 6575315.16999516)
13220;14794;1;LINESTRING(677815.94599975 6579407.53999267,675487.382999798 6579240.70499342)
11453;16157;1;LINESTRING(672549.910999845 6582373.61099423,670883.556999878 6577926.16199472)
15121;11644;1;LINESTRING(677149.610999766 6578539.4479929,674484.995999816 6579781.47499371)
12229;16808;1;LINESTRING(670978.396999865 6586305.9189946,665752.882999926 6591865.63199577)
16729;11450;1;LINESTRING(665015.04599993 6595954.47699589,672010.015999856 6580721.34299439)
16039;15349;1;LINESTRING(672313.442999857 6577296.58199435,677483.213999759 6578031.0689928)
9332;11575;1;LINESTRING(671150.338999885 6569307.82099474,674144.079999822 6579531.38699381)
11453;16111;1;LINESTRING(672549.910999845 6582373.61099423,671805.934999864 6577882.33999448)
15160;12171;1;LINESTRING(675395.272999803 6577434.49099347,671214.056999868 6581368.5939946)
11060;11642;1;LINESTRING(668779.151999887 6592984.94799508,672667.102999845 6581561.66399421)
11554;11249;1;LINESTRING(672156.678999852 6582501.32599434,666957.276999914 6589867.57699553)
12171;15774;1;LINESTRING(671214.056999868 6581368.5939946,671163.389999875 6577027.69999466)
16111;15243;1;LINESTRING(671805.934999864 6577882.33999448,676093.169999793 6575420.65299328)
18063;6335;1;LINESTRING(644642.491000038 6601986.67599864,646058.366000035 6601717.63899852)
12175;15932;1;LINESTRING(671168.157999868 6582041.9259946,673525.691999837 6576991.31099402)
16026;11635;1;LINESTRING(671712.426999865 6578059.6779945,674007.249999821 6581851.35199383)
14447;11645;1;LINESTRING(676243.872999776 6583356.42799313,674040.995999824 6579777.09799384)
15190;12291;1;LINESTRING(669613.582999898 6575429.45299506,671138.416999869 6581525.65199462)
11640;11847;1;LINESTRING(672720.794999845 6580729.9509942,672525.531999834 6590074.46799415)
11821;11884;1;LINESTRING(672646.681999827 6593610.93699407,672678.779999835 6587705.29699413)
11581;12057;1;LINESTRING(673609.811999832 6579374.93999397,669550.046999886 6585773.40599497)
15942;11467;1;LINESTRING(672103.938999862 6575813.28899442,673891.040999828 6578763.9469939)
11612;14432;1;LINESTRING(673975.700999825 6579482.35499386,676414.05299978 6579063.19299313)
14873;10283;1;LINESTRING(674855.31099981 6579317.03599361,680645.961999722 6560698.51099197)
11511;11884;1;LINESTRING(674162.223999817 6582491.12599377,672678.779999835 6587705.29699413)
11876;11254;1;LINESTRING(672996.200999831 6586892.77799405,668639.606999895 6588717.60399516)
11009;11566;1;LINESTRING(668290.462999907 6582139.0469953,672741.490999843 6581992.99499418)
13183;15979;1;LINESTRING(677616.153999756 6578364.62599275,673024.311999848 6575212.53099418)
16737;7606;1;LINESTRING(665290.423999924 6597938.97499582,663600.182999929 6610751.22699606)
12267;11678;1;LINESTRING(670062.591999871 6591385.96999478,674204.696999799 6593055.74799363)
10188;18728;1;LINESTRING(683632.054999617 6571543.51799063,688068.234999472 6571029.78498864)
11642;12225;1;LINESTRING(672667.102999845 6581561.66399421,670964.419999865 6585963.80599461)
13130;7400;1;LINESTRING(671192.944999846 6596903.61099443,663763.708999932 6606917.88299606)
7404;16706;1;LINESTRING(663837.300999929 6608224.47299603,665567.93299992 6599665.04399574)
15238;15704;1;LINESTRING(673009.579999846 6576918.70799416,678291.323999741 6578130.22699253)
7606;16994;1;LINESTRING(663600.182999929 6610751.22699606,665569.339999902 6615298.8599956)
11890;11512;1;LINESTRING(673281.561999824 6588189.52399395,674152.656999818 6582311.03899378)
12064;15012;1;LINESTRING(669686.513999891 6580808.02099499,674724.607999809 6581131.15899363)
11645;11411;1;LINESTRING(674040.995999824 6579777.09799384,672684.570999842 6582946.64899419)
7630;16994;1;LINESTRING(663479.588999932 6609813.92599609,665569.339999902 6615298.8599956)
14483;12407;1;LINESTRING(675206.180999796 6583842.55499344,671215.262999865 6583518.25199457)
15238;11637;1;LINESTRING(673009.579999846 6576918.70799416,672414.80099985 6580981.20299428)
7131;16776;1;LINESTRING(660182.232999975 6595143.49999679,664841.017999932 6596041.85099593)
11455;11430;1;LINESTRING(674425.768999819 6578417.97899375,672944.690999838 6583129.26999411)
11449;14952;1;LINESTRING(672387.868999854 6578664.25799432,675351.945999796 6582250.57799342)
11581;11421;1;LINESTRING(673609.811999832 6579374.93999397,672639.030999842 6583435.51699419)
15049;11741;1;LINESTRING(675930.388999786 6581215.75199325,674141.696999802 6592538.24199365)
12172;11227;1;LINESTRING(671200.769999868 6581165.4669946,668460.287999897 6588848.3769952)
11609;15260;1;LINESTRING(672471.126999848 6581221.84599426,675214.145999807 6577075.74199353)
15028;14793;1;LINESTRING(676943.513999769 6578880.39599296,675085.393999805 6579554.78399354)
11467;11641;1;LINESTRING(673891.040999828 6578763.9469939,672533.849999847 6581605.04299424)
15979;2454;1;LINESTRING(673024.311999848 6575212.53099418,673636.697999828 6581385.93899394)
16737;7608;1;LINESTRING(665290.423999924 6597938.97499582,663605.196999929 6611532.15099605)
1277;11469;1;LINESTRING(672809.740999843 6581145.96099417,673734.362999828 6580741.28599392)
11115;14545;1;LINESTRING(673982.42699982 6582806.89599382,675001.986999782 6593966.44399337)
12026;12378;1;LINESTRING(671389.338999861 6584476.41199452,670707.287999877 6580551.59099473)
11642;12228;1;LINESTRING(672667.102999845 6581561.66399421,671209.254999861 6586242.22699455)
16007;15395;1;LINESTRING(668511.94899991 6577637.49099529,674458.607999826 6573909.1069938)
15372;15775;1;LINESTRING(675924.791999793 6577343.30599331,670791.023999881 6576526.27399476)
11482;16748;1;LINESTRING(673341.422999834 6581371.36399402,665493.284999918 6601357.34499574)
17315;11796;1;LINESTRING(666258.82899992 6592343.56999566,672442.946999827 6595653.1289941)
15968;15918;1;LINESTRING(674029.155999829 6576791.43999388,667572.140999923 6575611.45399552)
11046;12229;1;LINESTRING(669227.619999897 6580482.6789951,670978.396999865 6586305.9189946)
16737;7404;1;LINESTRING(665290.423999924 6597938.97499582,663837.300999929 6608224.47299603)
11464;15400;1;LINESTRING(672636.700999849 6579170.18899424,676354.818999786 6576385.66599319)
10405;9651;1;LINESTRING(680570.891999719 6563102.77499196,679455.585999754 6558242.04599243)
16748;11571;1;LINESTRING(665493.284999918 6601357.34499574,674593.315999813 6580434.68199367)
11494;12279;1;LINESTRING(674342.842999816 6581177.42999373,669440.67199989 6584086.65499501)
15390;14952;1;LINESTRING(674795.516999815 6577050.67799365,675351.945999796 6582250.57799342)
15000;14432;1;LINESTRING(674889.483999808 6580045.33199359,676414.05299978 6579063.19299313)
7605;16964;1;LINESTRING(663611.761999929 6610950.33299605,665550.954999902 6615557.09199561)
11612;12407;1;LINESTRING(673975.700999825 6579482.35499386,671215.262999865 6583518.25199457)
12414;11575;1;LINESTRING(671702.086999856 6584433.99899444,674144.079999822 6579531.38699381)
15702;11644;1;LINESTRING(677748.432999754 6578030.28099271,674484.995999816 6579781.47499371)
16095;16964;1;LINESTRING(671348.53299987 6578210.7459946,665550.954999902 6615557.09199561)
12141;15579;1;LINESTRING(670900.760999874 6580162.97499469,675774.026999796 6577346.47999335)
6794;6981;1;LINESTRING(662670.96199996 6588696.8179964,659442.85799998 6595781.24499691)
11609;11939;1;LINESTRING(672471.126999848 6581221.84599426,672014.343999843 6589688.91599429)
10341;10697;1;LINESTRING(680194.652999725 6564533.00299207,676544.84799979 6572002.66699319)
11254;16748;1;LINESTRING(668639.606999895 6588717.60399516,665493.284999918 6601357.34499574)
15504;12020;1;LINESTRING(676184.856999792 6575032.32499326,670371.300999875 6585094.76299477)
14965;15146;1;LINESTRING(675728.046999788 6582072.16299331,675412.589999802 6577583.56499347)
13182;109;1;LINESTRING(677498.412999758 6578551.16999279,683512.646999601 6579486.86599053)
11636;15471;1;LINESTRING(673674.997999827 6581608.36699392,674171.314999826 6576786.66199384)
8310;6319;1;LINESTRING(655563.114000002 6598189.91399748,648543.334000029 6602441.93199828)
11467;11457;1;LINESTRING(673891.040999828 6578763.9469939,673427.40399983 6582921.53599398)
14764;16157;1;LINESTRING(675239.306999804 6578238.86199351,670883.556999878 6577926.16199472)
15039;12125;1;LINESTRING(675843.507999786 6582032.56899327,671317.754999867 6580833.03599458)
16111;15324;1;LINESTRING(671805.934999864 6577882.33999448,677255.774999764 6577967.81299288)
11047;16964;1;LINESTRING(669349.990999895 6580863.09799507,665550.954999902 6615557.09199561)
13488;13455;1;LINESTRING(684557.384999568 6579722.48499007,684808.060999562 6579085.61798998)
11631;16729;1;LINESTRING(672073.751999851 6584033.56899434,665015.04599993 6595954.47699589)
11631;15964;1;LINESTRING(672073.751999851 6584033.56899434,672420.463999855 6577210.89199433)
14432;11644;1;LINESTRING(676414.05299978 6579063.19299313,674484.995999816 6579781.47499371)
11928;16294;1;LINESTRING(672960.57599983 6587697.71399405,666693.667999921 6586390.38499562)
12296;15932;1;LINESTRING(670529.780999878 6581256.32299477,673525.691999837 6576991.31099402)
11419;15964;1;LINESTRING(674207.321999815 6583433.45399375,672420.463999855 6577210.89199433)
11579;11469;1;LINESTRING(673985.082999826 6579058.53799387,673734.362999828 6580741.28599392)
15008;12136;1;LINESTRING(675675.210999791 6581068.68499333,670042.542999885 6580960.2779949)
11642;11249;1;LINESTRING(672667.102999845 6581561.66399421,666957.276999914 6589867.57699553)
11475;15210;1;LINESTRING(672869.344999843 6580472.55899417,671060.205999876 6577319.02699468)
15226;14920;1;LINESTRING(675435.169999802 6577513.00599346,675308.762999796 6582616.99599343)
11549;14433;1;LINESTRING(674060.107999822 6581078.11799382,676859.676999771 6578847.38799299)
11193;16737;1;LINESTRING(668523.367999896 6588506.19399519,665290.423999924 6597938.97499582)
11928;7032;1;LINESTRING(672960.57599983 6587697.71399405,661050.26099997 6593211.37099666)
11411;11230;1;LINESTRING(672684.570999842 6582946.64899419,668502.973999896 6588863.57299519)
12172;15260;1;LINESTRING(671200.769999868 6581165.4669946,675214.145999807 6577075.74199353)
15221;14933;1;LINESTRING(672279.996999857 6577499.14399436,675145.0469998 6581667.16599349)
12416;11575;1;LINESTRING(671463.300999858 6585543.92199449,674144.079999822 6579531.38699381)
11631;11249;1;LINESTRING(672073.751999851 6584033.56899434,666957.276999914 6589867.57699553)
13833;23282;1;LINESTRING(680402.758999689 6579094.79099176,685512.177999538 6579304.61098965)
11009;11190;1;LINESTRING(668290.462999907 6582139.0469953,667409.153999912 6587391.50599545)
115;23578;1;LINESTRING(680472.519999642 6599311.95899138,685870.673999471 6598695.55398906)
16097;15241;1;LINESTRING(671510.701999868 6578070.73299456,675952.960999795 6575923.52399332)
14432;11517;1;LINESTRING(676414.05299978 6579063.19299313,674474.445999813 6581478.07299369)
11634;15338;1;LINESTRING(673769.339999826 6581310.5579939,672599.213999852 6577084.57699428)
13331;23377;1;LINESTRING(677560.886999726 6594600.37799253,686390.87099945 6599001.17398881)
15012;13651;1;LINESTRING(674724.607999809 6581131.15899363,681568.77499965 6582575.84599126)
15825;11497;1;LINESTRING(669864.330999894 6576018.13799499,674282.235999822 6578505.22699379)
11579;11856;1;LINESTRING(673985.082999826 6579058.53799387,672280.540999839 6589937.10199422)
16139;15165;1;LINESTRING(671717.472999866 6577415.84499451,676672.809999777 6577775.79499307)
13841;15504;1;LINESTRING(680905.433999676 6579083.34999157,676184.856999792 6575032.32499326)
13833;15512;1;LINESTRING(680402.758999689 6579094.79099176,684994.741999562 6576756.22798994)
15238;9849;1;LINESTRING(673009.579999846 6576918.70799416,678921.038999746 6568567.96599246)
11641;12229;1;LINESTRING(672533.849999847 6581605.04299424,670978.396999865 6586305.9189946)
15837;12043;1;LINESTRING(670372.250999887 6576162.26399487,670983.796999867 6584550.27599462)
16967;10994;1;LINESTRING(665040.77799991 6614025.65699573,667014.934999925 6580301.9079956)
17166;11188;1;LINESTRING(665804.309999925 6592882.76799575,668176.090999901 6588383.16699527)
12141;16492;1;LINESTRING(670900.760999874 6580162.97499469,666649.026999925 6583831.77699565)
16485;7562;1;LINESTRING(665813.679999915 6600897.81299568,663518.417999932 6609580.43899608)
17166;12144;1;LINESTRING(665804.309999925 6592882.76799575,669922.194999879 6587481.92099486)
8486;17909;1;LINESTRING(654164.669999996 6620067.88799755,651242.900000008 6624843.4659979)
12141;7627;1;LINESTRING(670900.760999874 6580162.97499469,663546.80299993 6610371.64499607)
7562;11446;1;LINESTRING(663518.417999932 6609580.43899608,673909.816999821 6583043.97799384)
13006;13139;1;LINESTRING(673034.314999815 6596882.40899392,668757.86699988 6598543.94099503)
13182;15514;1;LINESTRING(677498.412999758 6578551.16999279,684627.380999574 6576873.2619901)
16140;11546;1;LINESTRING(672016.46699986 6578134.84799442,673495.43499983 6581946.13599397)
12279;11604;1;LINESTRING(669440.67199989 6584086.65499501,673863.086999828 6579451.9959939)
14800;15952;1;LINESTRING(674985.139999808 6578854.68299358,671794.138999871 6572662.05799454)
11115;11859;1;LINESTRING(673982.42699982 6582806.89599382,672313.746999839 6589612.43399421)
12184;15775;1;LINESTRING(671130.02399987 6580852.23899462,670791.023999881 6576526.27399476)
15504;11617;1;LINESTRING(676184.856999792 6575032.32499326,673838.738999824 6581751.32699388)
11607;15935;1;LINESTRING(673963.219999823 6581255.91599385,673484.85299984 6575904.99299405)
1277;11188;1;LINESTRING(672809.740999843 6581145.96099417,668176.090999901 6588383.16699527)
11645;15891;1;LINESTRING(674040.995999824 6579777.09799384,669840.157999894 6576321.79499499)
16113;15052;1;LINESTRING(671337.728999871 6577967.6549946,676971.851999763 6581989.24499291)
15968;15787;1;LINESTRING(674029.155999829 6576791.43999388,671544.307999875 6572858.00199461)
16095;15165;1;LINESTRING(671348.53299987 6578210.7459946,676672.809999777 6577775.79499307)
19157;13611;1;LINESTRING(688016.860999412 6590924.74098819,682234.042999607 6592442.55299081)
7404;13241;1;LINESTRING(663837.300999929 6608224.47299603,678687.929999722 6583177.84799231)
15214;15501;1;LINESTRING(671957.810999862 6577673.71299444,676320.66499979 6574416.56799323)
12165;17267;1;LINESTRING(671612.169999862 6581436.40499449,665111.526999943 6582013.55699599)
13801;13199;1;LINESTRING(680002.341999697 6579788.07499189,678299.606999737 6580485.56799249)
11638;13376;1;LINESTRING(672273.853999852 6580937.50299432,677637.840999743 6584766.87299265)
11303;15012;1;LINESTRING(669273.913999892 6584316.59599505,674724.607999809 6581131.15899363)
11581;11469;1;LINESTRING(673609.811999832 6579374.93999397,673734.362999828 6580741.28599392)
23667;11581;1;LINESTRING(686675.814999497 6579640.15698911,673609.811999832 6579374.93999397)
15214;13815;1;LINESTRING(671957.810999862 6577673.71299444,680552.966999685 6579147.0709917)
15238;11534;1;LINESTRING(673009.579999846 6576918.70799416,674006.469999821 6582225.28199382)
15968;13761;1;LINESTRING(674029.155999829 6576791.43999388,679997.379999699 6578872.38499191)
7630;16964;1;LINESTRING(663479.588999932 6609813.92599609,665550.954999902 6615557.09199561)
15775;16599;1;LINESTRING(670791.023999881 6576526.27399476,666061.169999942 6574267.39099586)
13489;19100;1;LINESTRING(685172.298999548 6579690.9379898,690333.37999935 6580663.81098723)
11609;6583;1;LINESTRING(672471.126999848 6581221.84599426,662616.660999965 6583977.98799645)
15979;11553;1;LINESTRING(673024.311999848 6575212.53099418,673604.886999827 6582588.35699393)
12074;14927;1;LINESTRING(670336.224999879 6582728.73299481,675860.780999785 6582525.69899326)
11634;13845;1;LINESTRING(673769.339999826 6581310.5579939,682593.384999623 6581626.32999086)
12157;15338;1;LINESTRING(671443.426999865 6581252.39199454,672599.213999852 6577084.57699428)
16097;15324;1;LINESTRING(671510.701999868 6578070.73299456,677255.774999764 6577967.81299288)
10849;15226;1;LINESTRING(676976.506999783 6571137.02899307,675435.169999802 6577513.00599346)
17144;11631;1;LINESTRING(666322.377999922 6590128.50399567,672073.751999851 6584033.56899434)
11512;11964;1;LINESTRING(674152.656999818 6582311.03899378,672797.433999834 6587257.8079941)
16808;12229;1;LINESTRING(665752.882999926 6591865.63199577,670978.396999865 6586305.9189946)
16812;16404;1;LINESTRING(665469.72699992 6600548.69899576,665348.963999928 6593730.41199584)
7606;16964;1;LINESTRING(663600.182999929 6610751.22699606,665550.954999902 6615557.09199561)
16875;14227;1;LINESTRING(665986.514999923 6592600.32999572,678053.426999705 6599342.91699228)
16748;7400;1;LINESTRING(665493.284999918 6601357.34499574,663763.708999932 6606917.88299606)
11005;10895;1;LINESTRING(668934.114999896 6584263.48699513,676782.656999788 6570610.76699313)
16748;11249;1;LINESTRING(665493.284999918 6601357.34499574,666957.276999914 6589867.57699553)
